epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1138.18,0.9496,0.92353,1.08267,0.65547,0.59021,0.62304,0.46724,0.86243,0.90055,0.99626,0.000742625,0.000742625,0.000742625
43,1163.97,0.94342,0.92246,1.07975,0.65628,0.59956,0.62836,0.46698,0.8672,0.8589,0.99732,0.00073025,0.00073025,0.00073025
44,1190.05,0.93361,0.91671,1.07326,0.66992,0.56854,0.62202,0.47129,0.84846,0.86128,0.99252,0.000717875,0.000717875,0.000717875
45,1216.07,0.93867,0.89779,1.06998,0.68422,0.56596,0.6221,0.47373,0.85623,0.86438,0.99129,0.0007055,0.0007055,0.0007055
46,1242.22,0.94156,0.89554,1.07048,0.63508,0.60789,0.63396,0.47145,0.85338,0.83314,0.99262,0.000693125,0.000693125,0.000693125
47,1268.51,0.93018,0.87693,1.07015,0.68215,0.57751,0.62437,0.473,0.85135,0.84008,0.99123,0.00068075,0.00068075,0.00068075
48,1294.76,0.91755,0.86481,1.05876,0.67569,0.59098,0.63145,0.47994,0.8445,0.84638,0.98686,0.000668375,0.000668375,0.000668375
49,1321.02,0.92549,0.88327,1.06079,0.63546,0.60342,0.6182,0.47657,0.84956,0.86938,0.99395,0.000656,0.000656,0.000656
50,1346.89,0.89921,0.84452,1.05217,0.65561,0.59374,0.62574,0.4743,0.83922,0.82803,0.98087,0.000643625,0.000643625,0.000643625
51,1372.42,0.90723,0.85922,1.05694,0.68377,0.58657,0.63387,0.48832,0.83947,0.85375,0.98573,0.00063125,0.00063125,0.00063125
52,1398.03,0.90027,0.84717,1.05333,0.68977,0.58608,0.62783,0.48022,0.83084,0.84605,0.98002,0.000618875,0.000618875,0.000618875
53,1423.93,0.91933,0.85942,1.057,0.69529,0.57567,0.62195,0.47019,0.84727,0.85815,0.98802,0.0006065,0.0006065,0.0006065
54,1449.97,0.89963,0.84043,1.05538,0.67419,0.60954,0.64411,0.493,0.83072,0.83027,0.98242,0.000594125,0.000594125,0.000594125
55,1476.03,0.89081,0.83035,1.0523,0.68602,0.58219,0.6396,0.49168,0.83092,0.83777,0.97947,0.00058175,0.00058175,0.00058175
56,1502.02,0.9049,0.82856,1.04928,0.66978,0.5904,0.63034,0.48427,0.82689,0.82358,0.97459,0.000569375,0.000569375,0.000569375
57,1527.8,0.90404,0.82916,1.05374,0.66278,0.60187,0.64009,0.49138,0.82812,0.83322,0.98239,0.000557,0.000557,0.000557
58,1553.37,0.87549,0.81269,1.0464,0.68705,0.62217,0.65676,0.50396,0.82662,0.80187,0.97611,0.000544625,0.000544625,0.000544625
59,1579.28,0.88167,0.82011,1.04856,0.6571,0.6168,0.64229,0.49091,0.823,0.8093,0.97189,0.00053225,0.00053225,0.00053225
60,1605.09,0.88243,0.8102,1.04285,0.69225,0.61223,0.63876,0.49106,0.82807,0.83291,0.98127,0.000519875,0.000519875,0.000519875
61,1630.99,0.88189,0.80023,1.04226,0.68092,0.62365,0.64982,0.50085,0.81767,0.81844,0.97758,0.0005075,0.0005075,0.0005075
62,1656.91,0.8731,0.79815,1.03736,0.71905,0.59319,0.64878,0.49878,0.82259,0.80483,0.97172,0.000495125,0.000495125,0.000495125
63,1682.82,0.86251,0.77825,1.0323,0.69386,0.60992,0.65089,0.49884,0.81671,0.78957,0.9714,0.00048275,0.00048275,0.00048275
64,1708.59,0.87814,0.78125,1.04075,0.71827,0.60898,0.64819,0.49775,0.813,0.80394,0.96672,0.000470375,0.000470375,0.000470375
65,1734.56,0.85239,0.7812,1.037,0.71258,0.60253,0.6521,0.50813,0.80797,0.80355,0.96257,0.000458,0.000458,0.000458
66,1760.43,0.85939,0.77046,1.03416,0.6987,0.60213,0.6526,0.50381,0.81322,0.79797,0.97043,0.000445625,0.000445625,0.000445625
67,1786.51,0.85725,0.76563,1.03407,0.71145,0.58968,0.64776,0.50234,0.80846,0.79927,0.96746,0.00043325,0.00043325,0.00043325
68,1812.16,0.8619,0.75969,1.03042,0.702,0.61405,0.66252,0.51273,0.80194,0.76993,0.96414,0.000420875,0.000420875,0.000420875
69,1838.15,0.85668,0.75056,1.03483,0.66277,0.64139,0.65509,0.50678,0.80932,0.78785,0.96803,0.0004085,0.0004085,0.0004085
70,1864.02,0.84888,0.75107,1.02824,0.69093,0.58724,0.64294,0.49712,0.81006,0.79498,0.96436,0.000396125,0.000396125,0.000396125
71,1890.2,0.84505,0.75287,1.0239,0.74122,0.60974,0.66011,0.50976,0.80024,0.7916,0.96125,0.00038375,0.00038375,0.00038375
72,1916.17,0.83497,0.74209,1.02764,0.72497,0.60035,0.64885,0.50851,0.79529,0.79733,0.95944,0.000371375,0.000371375,0.000371375
73,1942.25,0.84018,0.7437,1.02343,0.72774,0.58534,0.6529,0.51112,0.7918,0.79767,0.96009,0.000359,0.000359,0.000359
74,1968.08,0.83542,0.73265,1.02421,0.71176,0.60784,0.65929,0.51613,0.80328,0.77233,0.96389,0.000346625,0.000346625,0.000346625
75,1994.23,0.83901,0.72467,1.02593,0.71926,0.59737,0.65477,0.51522,0.80167,0.78123,0.96374,0.00033425,0.00033425,0.00033425
76,2023.6,0.83634,0.72439,1.02093,0.71995,0.59658,0.65498,0.51373,0.79177,0.78542,0.96035,0.000321875,0.000321875,0.000321875
